,kWh
100,4.8621710437110615
101,4.8621710437110615
102,4.8621710437110615
103,4.8621710437110615
104,5.979473669937699
105,6.724342087422124
106,7.469210504906548
107,8.958947339875397
108,9.70381575735982
109,8.065105238894088
110,7.469210504906548
111,8.958947339875397
112,8.214078922390971
113,5.2346052524532745
114,4.8621710437110615
115,4.8621710437110615
116,4.8621710437110615
117,4.8621710437110615
118,4.8621710437110615
119,4.8621710437110615
120,4.8621710437110615
121,4.8621710437110615
122,4.8621710437110615
123,4.8621710437110615
124,4.8621710437110615
125,4.8621710437110615
126,4.8621710437110615
127,4.8621710437110615
128,5.979473669937699
129,6.724342087422124
130,7.469210504906548
131,8.958947339875397
132,9.70381575735982
133,8.065105238894088
134,7.469210504906548
135,8.958947339875397
136,8.214078922390971
137,5.2346052524532745
138,4.8621710437110615
139,4.8621710437110615
140,4.8621710437110615
141,4.8621710437110615
142,4.8621710437110615
143,4.8621710437110615
144,4.8621710437110615
145,4.8621710437110615
146,4.8621710437110615
147,4.8621710437110615
148,4.8621710437110615
149,4.8621710437110615
150,4.8621710437110615
151,4.8621710437110615
152,14.596615488155505
153,15.129171043711061
154,15.205171043711061
155,15.10567104371106
156,6.385671043711062
157,4.8621710437110615
158,4.8621710437110615
159,4.8621710437110615
160,4.8621710437110615
161,15.17342104371106
162,10.004171043711061
163,4.8621710437110615
164,4.8621710437110615
165,4.8621710437110615
166,4.8621710437110615
167,4.8621710437110615
168,4.8621710437110615
169,4.8621710437110615
170,4.8621710437110615
171,4.8621710437110615
172,4.8621710437110615
173,4.8621710437110615
174,4.8621710437110615
175,4.8621710437110615
176,5.2851710437110615
177,5.610171043711063
178,4.8621710437110615
179,4.8621710437110615
180,4.8621710437110615
181,7.663080134620152
182,4.8621710437110615
183,4.8621710437110615
184,4.8621710437110615
185,4.8621710437110615
186,4.8621710437110615
187,4.8621710437110615
188,4.8621710437110615
189,4.8621710437110615
190,4.8621710437110615
191,4.8621710437110615
192,4.8621710437110615
193,4.8621710437110615
194,13.050352861892879
195,4.8621710437110615
196,4.8621710437110615
197,4.8621710437110615
198,4.8621710437110615
199,4.8621710437110615
200,5.979473669937699
201,6.724342087422124
202,7.469210504906548
203,8.958947339875397
204,9.70381575735982
205,8.065105238894088
206,7.469210504906548
207,8.958947339875397
208,8.214078922390971
209,5.2346052524532745
210,4.8621710437110615
211,4.8621710437110615
212,4.8621710437110615
213,4.8621710437110615
214,15.938599615139632
215,15.94867104371106
216,15.968671043711062
217,16.008171043711062
218,9.302671043711062
219,4.8621710437110615
220,4.8621710437110615
221,4.8621710437110615
222,4.8621710437110615
223,4.8621710437110615
224,5.979473669937699
225,6.724342087422124
226,7.469210504906548
227,8.958947339875397
228,9.70381575735982
229,8.065105238894088
230,7.469210504906548
231,8.958947339875397
232,8.214078922390971
233,5.2346052524532745
234,4.8621710437110615
235,4.8621710437110615
236,4.8621710437110615
237,4.8621710437110615
238,4.8621710437110615
239,4.8621710437110615
240,4.8621710437110615
241,4.8621710437110615
242,4.8621710437110615
243,4.8621710437110615
244,4.8621710437110615
245,4.8621710437110615
246,4.8621710437110615
247,4.8621710437110615
248,5.979473669937699
249,6.724342087422124
250,7.469210504906548
251,8.958947339875397
252,9.70381575735982
253,8.065105238894088
254,7.469210504906548
255,8.958947339875397
256,8.214078922390971
257,5.2346052524532745
258,4.8621710437110615
259,4.8621710437110615
260,4.8621710437110615
261,4.8621710437110615
262,4.8621710437110615
263,4.8621710437110615
264,4.8621710437110615
265,4.8621710437110615
266,4.8621710437110615
267,4.8621710437110615
268,4.8621710437110615
269,4.8621710437110615
270,4.8621710437110615
271,4.8621710437110615
272,5.979473669937699
273,6.724342087422124
274,7.469210504906548
275,8.958947339875397
276,17.014992227948056
277,13.833105238894088
278,7.469210504906548
279,25.758947339875398
280,25.014078922390972
281,22.034605252453275
282,15.072671043711061
283,15.009671043711062
284,15.075028186568206
285,11.99217104371106
286,4.8621710437110615
287,4.8621710437110615
288,4.8621710437110615
289,4.8621710437110615
290,4.8621710437110615
291,4.8621710437110615
292,4.8621710437110615
293,4.8621710437110615
294,4.8621710437110615
295,4.8621710437110615
296,6.674473669937699
297,6.724342087422124
298,7.469210504906548
299,8.958947339875397
300,9.70381575735982
301,8.065105238894088
302,7.469210504906548
303,8.958947339875397
304,8.214078922390971
305,5.2346052524532745
306,4.8621710437110615
307,4.8621710437110615
308,4.8621710437110615
309,4.8621710437110615
310,4.8621710437110615
311,4.8621710437110615
312,4.8621710437110615
313,4.8621710437110615
314,4.8621710437110615
315,4.8621710437110615
316,4.8621710437110615
317,4.8621710437110615
318,4.8621710437110615
319,4.8621710437110615
320,4.8621710437110615
321,4.8621710437110615
322,4.8621710437110615
323,4.8621710437110615
324,4.8621710437110615
325,4.8621710437110615
326,4.8621710437110615
327,4.8621710437110615
328,15.232940274480292
329,13.944523984887532
330,4.8621710437110615
331,4.8621710437110615
332,4.8621710437110615
333,4.8621710437110615
334,4.8621710437110615
335,4.8621710437110615
336,4.8621710437110615
337,4.8621710437110615
338,4.8621710437110615
339,4.8621710437110615
340,4.8621710437110615
341,4.8621710437110615
342,4.8621710437110615
343,4.8621710437110615
344,14.131118412132114
345,14.204551996092013
346,14.64217104371106
347,10.456171043711063
348,4.8621710437110615
349,4.8621710437110615
350,4.8621710437110615
351,4.8621710437110615
352,4.8621710437110615
353,4.8621710437110615
354,4.8621710437110615
355,4.8621710437110615
