Local time - DST,P
2015-01-13 08:10:00+00:00,19.44
2015-01-13 09:10:00+00:00,196.76
2015-01-13 10:10:00+00:00,344.38
2015-01-13 11:10:00+00:00,429.47
2015-01-13 12:10:00+00:00,449.19
2015-01-13 13:10:00+00:00,446.76
2015-01-13 14:10:00+00:00,372.83
2015-01-13 15:10:00+00:00,255.98
2015-01-13 16:10:00+00:00,88.82
2015-01-13 17:10:00+00:00,0.0
2015-01-13 18:10:00+00:00,0.0
2015-01-13 19:10:00+00:00,0.0
2015-01-13 20:10:00+00:00,0.0
2015-01-13 21:10:00+00:00,0.0
2015-01-13 22:10:00+00:00,0.0
2015-01-13 23:10:00+00:00,0.0
2015-01-14 00:10:00+00:00,0.0
2015-01-14 01:10:00+00:00,0.0
2015-01-14 02:10:00+00:00,0.0
2015-01-14 03:10:00+00:00,0.0
2015-01-14 04:10:00+00:00,0.0
2015-01-14 05:10:00+00:00,0.0
2015-01-14 06:10:00+00:00,0.0
2015-01-14 07:10:00+00:00,0.0
2015-01-14 08:10:00+00:00,4.72
2015-01-14 09:10:00+00:00,179.46
2015-01-14 10:10:00+00:00,336.78
2015-01-14 11:10:00+00:00,376.08
2015-01-14 12:10:00+00:00,426.1
2015-01-14 13:10:00+00:00,185.77
2015-01-14 14:10:00+00:00,355.92
2015-01-14 15:10:00+00:00,193.37
2015-01-14 16:10:00+00:00,65.89
2015-01-14 17:10:00+00:00,0.0
2015-01-14 18:10:00+00:00,0.0
2015-01-14 19:10:00+00:00,0.0
2015-01-14 20:10:00+00:00,0.0
2015-01-14 21:10:00+00:00,0.0
2015-01-14 22:10:00+00:00,0.0
2015-01-14 23:10:00+00:00,0.0
2015-01-15 00:10:00+00:00,0.0
2015-01-15 01:10:00+00:00,0.0
2015-01-15 02:10:00+00:00,0.0
2015-01-15 03:10:00+00:00,0.0
2015-01-15 04:10:00+00:00,0.0
2015-01-15 05:10:00+00:00,0.0
2015-01-15 06:10:00+00:00,0.0
2015-01-15 07:10:00+00:00,0.0
2015-01-15 08:10:00+00:00,18.35
2015-01-15 09:10:00+00:00,165.15
2015-01-15 10:10:00+00:00,301.75
2015-01-15 11:10:00+00:00,350.39
2015-01-15 12:10:00+00:00,479.31
2015-01-15 13:10:00+00:00,464.37
2015-01-15 14:10:00+00:00,344.07
2015-01-15 15:10:00+00:00,229.86
2015-01-15 16:10:00+00:00,107.26
2015-01-15 17:10:00+00:00,0.0
2015-01-15 18:10:00+00:00,0.0
2015-01-15 19:10:00+00:00,0.0
2015-01-15 20:10:00+00:00,0.0
2015-01-15 21:10:00+00:00,0.0
2015-01-15 22:10:00+00:00,0.0
2015-01-15 23:10:00+00:00,0.0
2015-01-16 00:10:00+00:00,0.0
2015-01-16 01:10:00+00:00,0.0
2015-01-16 02:10:00+00:00,0.0
2015-01-16 03:10:00+00:00,0.0
2015-01-16 04:10:00+00:00,0.0
2015-01-16 05:10:00+00:00,0.0
2015-01-16 06:10:00+00:00,0.0
2015-01-16 07:10:00+00:00,0.0
2015-01-16 08:10:00+00:00,8.66
2015-01-16 09:10:00+00:00,89.4
2015-01-16 10:10:00+00:00,117.48
2015-01-16 11:10:00+00:00,41.37
2015-01-16 12:10:00+00:00,88.71
2015-01-16 13:10:00+00:00,48.34
2015-01-16 14:10:00+00:00,105.19
2015-01-16 15:10:00+00:00,57.19
2015-01-16 16:10:00+00:00,73.25
2015-01-16 17:10:00+00:00,0.0
2015-01-16 18:10:00+00:00,0.0
2015-01-16 19:10:00+00:00,0.0
2015-01-16 20:10:00+00:00,0.0
2015-01-16 21:10:00+00:00,0.0
2015-01-16 22:10:00+00:00,0.0
2015-01-16 23:10:00+00:00,0.0
2015-01-17 00:10:00+00:00,0.0
2015-01-17 01:10:00+00:00,0.0
2015-01-17 02:10:00+00:00,0.0
2015-01-17 03:10:00+00:00,0.0
2015-01-17 04:10:00+00:00,0.0
2015-01-17 05:10:00+00:00,0.0
2015-01-17 06:10:00+00:00,0.0
2015-01-17 07:10:00+00:00,0.0
2015-01-17 08:10:00+00:00,8.57
2015-01-17 09:10:00+00:00,90.06
2015-01-17 10:10:00+00:00,61.26
2015-01-17 11:10:00+00:00,47.07
2015-01-17 12:10:00+00:00,108.91
2015-01-17 13:10:00+00:00,121.03
2015-01-17 14:10:00+00:00,156.45
2015-01-17 15:10:00+00:00,66.13
2015-01-17 16:10:00+00:00,31.03
2015-01-17 17:10:00+00:00,0.0
2015-01-17 18:10:00+00:00,0.0
2015-01-17 19:10:00+00:00,0.0
2015-01-17 20:10:00+00:00,0.0
2015-01-17 21:10:00+00:00,0.0
2015-01-17 22:10:00+00:00,0.0
2015-01-17 23:10:00+00:00,0.0
2015-01-18 00:10:00+00:00,0.0
2015-01-18 01:10:00+00:00,0.0
2015-01-18 02:10:00+00:00,0.0
2015-01-18 03:10:00+00:00,0.0
2015-01-18 04:10:00+00:00,0.0
2015-01-18 05:10:00+00:00,0.0
2015-01-18 06:10:00+00:00,0.0
2015-01-18 07:10:00+00:00,0.0
2015-01-18 08:10:00+00:00,16.69
2015-01-18 09:10:00+00:00,213.4
2015-01-18 10:10:00+00:00,277.0
2015-01-18 11:10:00+00:00,397.65
2015-01-18 12:10:00+00:00,300.11
2015-01-18 13:10:00+00:00,477.91
2015-01-18 14:10:00+00:00,412.34
2015-01-18 15:10:00+00:00,293.58
2015-01-18 16:10:00+00:00,87.61
2015-01-18 17:10:00+00:00,0.0
2015-01-18 18:10:00+00:00,0.0
2015-01-18 19:10:00+00:00,0.0
2015-01-18 20:10:00+00:00,0.0
2015-01-18 21:10:00+00:00,0.0
2015-01-18 22:10:00+00:00,0.0
2015-01-18 23:10:00+00:00,0.0
2015-01-19 00:10:00+00:00,0.0
2015-01-19 01:10:00+00:00,0.0
2015-01-19 02:10:00+00:00,0.0
2015-01-19 03:10:00+00:00,0.0
2015-01-19 04:10:00+00:00,0.0
